ledger_id,target_date,generated_at,pipeline_stage,experiment_id,candidate_version,is_official_pick,is_shadow_pick,fixture_id,league,home_team,away_team,market_primary,market_alt,rank,calibrated_probability,raw_probability,confidence_score,edge,selection_score,execution_score,reason_tags,risk_tags,forecast_score_main,forecast_score_alt,forecast_home_xg_range,forecast_away_xg_range,forecast_pick_path,forecast_pick_breaker,prelock_status,prelock_decision,prelock_decision_reason,price_discipline_decision,price_discipline_min_edge_required,price_discipline_actual_edge,price_discipline_edge_surplus,price_discipline_drift_status,clv_direction,clv_delta,result_status,result,profit_units,roi_contribution,post_verdict,source_file,source_file_hash,ledger_row_hash,record_status
da2f01e7c39bbbc419e4e79674116b91,2026-05-14,2026-05-15T06:48:55+00:00,PRE,CANDIDATE_V3_ODDS_DEPTH,CANDIDATE_V3,0,1,,,,,,,,,,,,,,NO_BET; SOURCE_FILE_MISSING_OR_NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,vsigma_today_candidate_v3_competition_top.csv,,d58b1be741d26e785bd385a271dc940a,NO_BET_RECORD
ae444229c363b5f4fa96bb9e2adbdc4b,2026-05-14,2026-05-15T06:48:59+00:00,POST,OFFICIAL_BASELINE,OFFICIAL_BASELINE,1,0,1391177,La Liga,Valencia,Rayo Vallecano,OVER_1_5,OVER_2_5,1,0.78306,0.8507,147.275,0.1364142857142857,89.56,122.20142857142858,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE; Proj goles: local 1.36 | visitante 2.02; Market edge primario: prob 0.851 | impl 0.714 | edge +0.136; Bias lado: -1.32 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.60 | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.00 aRisk=8.00 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.136; market_fit=SAFE_OK; LOW_CONVERSION,1-2,0-2,1.0-1.7,1.7-2.4,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,IN_PRELOCK_WINDOW,PRELOCK_NO_CHANGE,no explicit pre-lock contradiction detected,,,,,,,,RESULT_AVAILABLE,WIN,0.4,0.4,RESULT_AVAILABLE,vsigma_execution_shortlist_results_ledger.csv,f687a0bd962a454d793d973a4e633e31f533985e1057809c754499070a8edd5c,a3a566f1f79a2762d17bbbfe18424a86,SETTLED
de7d0f8bd98c54ed60dd613998f7d2fb,2026-05-14,2026-05-15T06:48:59+00:00,POST,OFFICIAL_BASELINE,OFFICIAL_BASELINE,1,0,1544064,League One,Bradford,Bolton,OVER_1_5,OVER_2_5,2,0.82476,0.8924,144.711,0.1405203007518797,81.31,114.36203007518796,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE; Proj goles: local 1.93 | visitante 1.87; Market edge primario: prob 0.892 | impl 0.752 | edge +0.141; Bias lado: +0.11 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.20 | lab_sched=nan/nan trust=1.00/1.00 clean=nan | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.141; market_fit=SAFE_OK; LOW_CONVERSION,2-2,1-2,1.6-2.3,1.5-2.2,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,OUTSIDE_PRELOCK_WINDOW,PRELOCK_NOT_AVAILABLE,fixture is outside requested pre-lock window,,,,,,,,RESULT_AVAILABLE,LOSS,-1.0,-1.0,RESULT_AVAILABLE,vsigma_execution_shortlist_results_ledger.csv,f687a0bd962a454d793d973a4e633e31f533985e1057809c754499070a8edd5c,2b511f869a764c8fd3250a22fc44a005,SETTLED
7b7e2762ca0a5c15f52260f6252710e5,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2,0,1,1391177,La Liga,Valencia,Rayo Vallecano,OVER_1_5,OVER_2_5,1,0.78186,0.8495,149.998,0.1352142857142857,89.43,121.95142857142858,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE; Proj goles: local 1.36 | visitante 2.01; Market edge primario: prob 0.850 | impl 0.714 | edge +0.135; Bias lado: -1.31 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.60 | lab_sched=FULL/FULL trust=1.00/0.99 clean=MIXED | odds_depth=nan ladder=nan hint=nan line=nan | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.00 aRisk=8.00 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.135; market_fit=SAFE_OK; LOW_CONVERSION,1-2,0-2,1.0-1.7,1.7-2.4,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,WIN,0.4,0.4,RESULT_AVAILABLE,vsigma_today_candidate_v2_results_ledger.csv,dfff7a9d910def33423860233fdc0e2980191bf5123dae671f4dc9fa182a0a51,ffa92150b0e022dbda86cfc8b0d7a37f,SETTLED
b87b182c839839973db232d87a8dc1c2,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V2_SCHEDULE_ANOMALY,CANDIDATE_V2,0,1,1544064,League One,Bradford,Bolton,OVER_1_5,OVER_2_5,2,0.82046,0.8881,143.721,0.1362203007518797,80.85,113.47203007518796,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE; Proj goles: local 1.91 | visitante 1.84; Market edge primario: prob 0.888 | impl 0.752 | edge +0.136; Bias lado: +0.12 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.20 | lab_sched=FULL/FULL trust=0.98/0.97 clean=POLLUTED | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.136; market_fit=SAFE_OK; LOW_CONVERSION,2-2,1-2,1.6-2.3,1.5-2.2,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,LOSS,-1.0,-1.0,RESULT_AVAILABLE,vsigma_today_candidate_v2_results_ledger.csv,dfff7a9d910def33423860233fdc0e2980191bf5123dae671f4dc9fa182a0a51,601d45d4d667d9fd4d1a8f63de2d8231,SETTLED
750f76f8d7ccfcf5dbf5a136ae2ee2d3,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V4_O25_FIREWALL,CANDIDATE_V4,0,1,1391177,La Liga,Valencia,Rayo Vallecano,OVER_1_5,OVER_2_5,1,0.78186,0.8495,149.998,0.1352142857142857,89.43,121.95142857142858,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE; Proj goles: local 1.36 | visitante 2.01; Market edge primario: prob 0.850 | impl 0.714 | edge +0.135; Bias lado: -1.31 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.60 | lab_sched=FULL/FULL trust=1.00/0.99 clean=MIXED | odds_depth=nan ladder=nan hint=nan line=nan | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.00 aRisk=8.00 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.135; market_fit=SAFE_OK; LOW_CONVERSION,1-2,0-2,1.0-1.7,1.7-2.4,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,WIN,0.4,0.4,RESULT_AVAILABLE,vsigma_today_candidate_v4_results_ledger.csv,81da3d34dcca0f30c3a9f55b43aaf2e32654d58af51ce989ac97ce689566ec59,cc6aa6d85b395b5e2a6db87c5548e495,SETTLED
699b8633bce375bd4f6142bfdf84e8ff,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V4_O25_FIREWALL,CANDIDATE_V4,0,1,1544064,League One,Bradford,Bolton,OVER_1_5,OVER_2_5,2,0.82046,0.8881,143.721,0.1362203007518797,80.85,113.47203007518796,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE; Proj goles: local 1.91 | visitante 1.84; Market edge primario: prob 0.888 | impl 0.752 | edge +0.136; Bias lado: +0.12 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.20 | lab_sched=FULL/FULL trust=0.98/0.97 clean=POLLUTED | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.136; market_fit=SAFE_OK; LOW_CONVERSION,2-2,1-2,1.6-2.3,1.5-2.2,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,LOSS,-1.0,-1.0,RESULT_AVAILABLE,vsigma_today_candidate_v4_results_ledger.csv,81da3d34dcca0f30c3a9f55b43aaf2e32654d58af51ce989ac97ce689566ec59,308379e53479a656781a177ae3faba87,SETTLED
671f58a3fd3234f639546e89972a125e,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V5_PLAYER_IMPACT,CANDIDATE_V5,0,1,1391177,La Liga,Valencia,Rayo Vallecano,OVER_1_5,OVER_2_5,1,0.78186,0.8495,149.998,0.1352142857142857,89.43,121.95142857142858,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE; Proj goles: local 1.36 | visitante 2.01; Market edge primario: prob 0.850 | impl 0.714 | edge +0.135; Bias lado: -1.31 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.60 | lab_sched=FULL/FULL trust=1.00/0.99 clean=MIXED | odds_depth=nan ladder=nan hint=nan line=nan | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.00 aRisk=8.00 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.135; market_fit=SAFE_OK; LOW_CONVERSION,1-2,0-2,1.0-1.7,1.7-2.4,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,WIN,0.4,0.4,RESULT_AVAILABLE,vsigma_today_candidate_v5_results_ledger.csv,841ab7ef7310c2d48b0f6064ce27358417461720f168d68efc789e99ff5ad690,c2d2dcd1cddd7b0e0972ebbeadb9fa88,SETTLED
6048b7433f77092e653b60059277e55b,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V5_PLAYER_IMPACT,CANDIDATE_V5,0,1,1544064,League One,Bradford,Bolton,OVER_1_5,OVER_2_5,2,0.82046,0.8881,143.721,0.1362203007518797,80.85,113.47203007518796,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE; Proj goles: local 1.91 | visitante 1.84; Market edge primario: prob 0.888 | impl 0.752 | edge +0.136; Bias lado: +0.12 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.20 | lab_sched=FULL/FULL trust=0.98/0.97 clean=POLLUTED | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.136; market_fit=SAFE_OK; LOW_CONVERSION,2-2,1-2,1.6-2.3,1.5-2.2,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,LOSS,-1.0,-1.0,RESULT_AVAILABLE,vsigma_today_candidate_v5_results_ledger.csv,841ab7ef7310c2d48b0f6064ce27358417461720f168d68efc789e99ff5ad690,f8ef39cf1caaf568ec2200fc1da1139d,SETTLED
dbd5948a1fbef2db7e55f6dad0ba7107,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V6_API_PREDICTIONS,CANDIDATE_V6,0,1,1391177,La Liga,Valencia,Rayo Vallecano,OVER_1_5,OVER_2_5,1,0.78186,0.8495,149.998,0.1352142857142857,89.43,121.95142857142858,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+ADVISORY_AVAILABILITY+LEAGUE_COVERAGE; Proj goles: local 1.36 | visitante 2.01; Market edge primario: prob 0.850 | impl 0.714 | edge +0.135; Bias lado: -1.31 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.60 | lab_sched=FULL/FULL trust=1.00/0.99 clean=MIXED | odds_depth=nan ladder=nan hint=nan line=nan | availability=ABSENCE_RISK_HIGH inj=FULL hRisk=8.00 aRisk=8.00 | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.135; market_fit=SAFE_OK; LOW_CONVERSION,1-2,0-2,1.0-1.7,1.7-2.4,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,WIN,0.4,0.4,RESULT_AVAILABLE,vsigma_today_candidate_v6_results_ledger.csv,9be4dd3d4c812f46554bd222c90e2f61d9363eee14ff76471334fa04236079ee,db694ad946fd04bf8ff23241c492e5c6,SETTLED
e52712a7498256ba4bef7264ccfa3e24,2026-05-14,2026-05-15T06:48:59+00:00,POST,CANDIDATE_V6_API_PREDICTIONS,CANDIDATE_V6,0,1,1544064,League One,Bradford,Bolton,OVER_1_5,OVER_2_5,2,0.82046,0.8881,143.721,0.1362203007518797,80.85,113.47203007518796,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE; STRONG_ROLLING_STATS;CLEAN_MARKET_FIT;CORE_GATE_PASSED;EDGE_ABOVE_THRESHOLD;MODEL_PROB_STRONG;BET_EXECUTABLE; STATS+ODDS+MARKET_TRANSLATION+FORM+LEAGUE_COVERAGE; Proj goles: local 1.91 | visitante 1.84; Market edge primario: prob 0.888 | impl 0.752 | edge +0.136; Bias lado: +0.12 | tie=nan | hint=OVER_OR_BTTS_CHECK | coverage=COVERAGE_RICH rel=0.95 stats=1.0 odds=1.0 inj=1.0 lineups=1.0 | stats=FULL hSOT=3.60 aSOT=6.20 | lab_sched=FULL/FULL trust=0.98/0.97 clean=POLLUTED | odds_depth=nan ladder=nan hint=nan line=nan | availability=COVERAGE_TOO_WEAK_FOR_CONFIDENCE inj=NONE hRisk=nan aRisk=nan | lineup=LINEUP_INACTIVE_NO_TIMING_EDGE state=INACTIVE q=NONE hXI=nan aXI=nan conf=nan,FAILURE_MODE_LOW_CONVERSION; FAILURE_MODE_LOW_CONVERSION; market=OVER_1_5; edge=0.136; market_fit=SAFE_OK; LOW_CONVERSION,2-2,1-2,1.6-2.3,1.5-2.2,Pick wins if either favorite pressure creates a second goal or both sides trade enough chances for a 1-1/2-0 type path.,Good territory without conversion: shots arrive but finish quality or goalkeeper variance drags the score under the market.,,,,,,,,,,,RESULT_AVAILABLE,LOSS,-1.0,-1.0,RESULT_AVAILABLE,vsigma_today_candidate_v6_results_ledger.csv,9be4dd3d4c812f46554bd222c90e2f61d9363eee14ff76471334fa04236079ee,6b74936ca24c6108ab70bff1b67c903e,SETTLED
