shortlist_rank,shortlist_bucket,analysis_label,date,country,league,fixture_id,home_team,away_team,selection_score,vsigma_pre_score,confidence_band,likely_scoreline,market_primary,market_alt,edge_floor_band,base_execution_verdict,base_final_recommendation,execution_verdict,final_recommendation,production_governance_status,production_governance_rule_count,production_governance_premium_rule_count,production_governance_standard_rule_count,production_governance_generic_rule_count,production_governance_best_evidence_tier,production_governance_top_rule,production_governance_matched_rules,production_governance_note,primary_model_prob,primary_odds_used,primary_implied_prob,primary_edge,alt_model_prob,alt_odds_used,alt_implied_prob,alt_edge,vsigma_priority,market_family_hint,tie_state_label,tie_adjustment_note,reason_1,reason_2,reason_3,home_rank,away_rank,home_urgency_score,away_urgency_score,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,final_execution_bucket,final_execution_reason,final_execution_bucket_order
2,TOP_CORE,TOP_CORE,2026-05-09,Belgium,Jupiler Pro League,1536997,Club Brugge KV,St. Truiden,97.35,91.45,HIGH,2-1 / 3-1 / 2-2,OVER_2_5,OVER_1_5,PLAYABLE,CORE_SHORTLIST,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7297,1.44,0.6944444444444444,0.0352555555555555,0.892,1.13,0.8849557522123894,0.0070442477876105,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.60 | visitante 1.20,Market edge primario: prob 0.730 | impl 0.694 | edge +0.035,Bias lado: +2.52 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,2.0,3.0,1.0,0.5,2.625,1.25,3.0,1.25,1.125,1.125,1.0,0.625,0.125,0.25,0.875,0.5,1.0,0.625,0.875,0.5,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
7,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388602,RB Leipzig,FC St. Pauli,93.59,87.69,HIGH,2-1 / 3-1 / 2-2,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6381,1.81,0.5524861878453039,0.0856138121546961,0.8661,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.71 | visitante 0.35,Market edge primario: prob 0.638 | impl 0.552 | edge +0.086,Bias lado: +4.56 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,3.0,17.0,1.0,1.0,2.25,0.375,2.125,0.5,1.125,1.875,0.875,0.5,0.25,0.125,0.625,0.5,0.75,0.875,0.75,0.375,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
12,WATCHLIST,WATCH,2026-05-09,England,Premier League,1379319,Brighton,Wolves,91.71,85.81,HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.667,1.71,0.5847953216374269,0.0822046783625731,0.7608,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.32 | visitante 0.60,Market edge primario: prob 0.667 | impl 0.585 | edge +0.082,Bias lado: +3.15 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,8.0,20.0,0.0,1.0,2.0,1.0,1.625,1.0,1.0,1.875,0.875,0.625,0.375,0.125,0.5,0.5,0.75,0.875,0.625,0.625,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
14,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388600,1899 Hoffenheim,Werder Bremen,91.07,85.17,HIGH,2-1 / 3-1 / 2-2,BTTS_YES,OVER_1_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7112,1.5,0.6666666666666666,0.0445333333333334,0.8932,1.12,0.8928571428571428,0.0003428571428572,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.20 | visitante 1.61,Market edge primario: prob 0.711 | impl 0.667 | edge +0.045,Bias lado: +1.25 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6.0,15.0,0.0,1.0,1.5,1.25,1.875,1.5,2.125,1.625,0.875,0.875,0.0,0.125,0.875,0.75,1.0,0.875,0.875,0.625,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
16,WATCHLIST,WATCH,2026-05-09,Italy,Serie A,1378218,Lecce,Juventus,90.37,84.47,HIGH,1-2 / 0-1 / 1-1,UNDER_3_5,AWAY_WIN,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.7673,1.4,0.7142857142857143,0.0530142857142856,0.7887,1.47,0.6802721088435374,0.1084278911564625,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 0.35 | visitante 2.11,Market edge primario: prob 0.767 | impl 0.714 | edge +0.053,Bias lado: -3.53 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,17.0,4.0,1.0,0.5,1.0,2.25,0.75,1.5,1.375,0.25,0.5,0.875,0.125,0.75,0.5,0.25,0.75,0.625,0.5,0.125,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
17,WATCHLIST,WATCH,2026-05-09,USA,Major League Soccer,1490266,Chicago Fire,New York Red Bulls,89.63,84.43,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.9201,1.12,0.8928571428571428,0.0272428571428572,0.7854,1.37,0.7299270072992701,0.0554729927007299,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.77 | visitante 1.41,Market edge primario: prob 0.920 | impl 0.893 | edge +0.027,Bias lado: +2.41 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,11.0,1.0,0.0,2.0,1.0,2.125,1.875,1.25,2.5,1.0,0.75,0.375,0.0,0.625,0.75,0.75,1.0,0.75,0.75,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
18,WATCHLIST,WATCH,2026-05-09,Spain,Segunda División,1392191,Malaga,Sporting Gijon,89.28,83.38,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8324,1.24,0.8064516129032259,0.0259483870967741,0.6257,1.73,0.5780346820809249,0.0476653179190751,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.14 | visitante 1.09,Market edge primario: prob 0.832 | impl 0.806 | edge +0.026,Bias lado: +1.83 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6.0,12.0,0.0,0.0,1.5,0.875,2.125,1.125,1.5,1.375,0.875,0.75,0.375,0.25,0.625,0.5,0.875,0.625,0.625,0.5,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
20,WATCHLIST,WATCH,2026-05-09,Spain,La Liga,1391160,Atletico Madrid,Celta Vigo,88.68,82.78,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8518,1.26,0.7936507936507936,0.0581492063492063,0.6579,1.76,0.5681818181818182,0.0897181818181818,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.01 | visitante 1.38,Market edge primario: prob 0.852 | impl 0.794 | edge +0.058,Bias lado: +1.25 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,4.0,6.0,0.5,0.0,1.0,0.75,1.5,1.375,1.625,2.375,0.875,0.625,0.125,0.0,0.75,0.625,0.875,0.875,0.625,0.875,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
23,WATCHLIST,WATCH,2026-05-09,Netherlands,Eerste Divisie,1544647,Willem II,Waalwijk,85.53,80.33,HIGH,2-1 / 3-1 / 2-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.8495,1.21,0.8264462809917356,0.0230537190082644,0.6539,1.67,0.5988023952095809,0.0550976047904191,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 2.13 | visitante 1.24,Market edge primario: prob 0.850 | impl 0.826 | edge +0.023,Bias lado: +1.81 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,3.0,6.0,1.0,0.0,2.625,1.25,1.875,1.875,0.5,1.5,0.875,0.875,0.625,0.125,0.25,0.75,0.625,0.875,0.5,0.5,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
27,WATCHLIST,WATCH,2026-05-09,France,Ligue 2,1389410,Reims,PAU,84.48,78.58,HIGH,2-1 / 1-0 / 2-0,UNDER_3_5,HOME_DNB,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6856,1.69,0.591715976331361,0.093884023668639,0.5446,,,,A_ANALIZAR_PRIMERO,HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,,,Proj goles: local 1.78 | visitante 1.05,Market edge primario: prob 0.686 | impl 0.592 | edge +0.094,Bias lado: +1.27 | tie=nan | hint=HOME_SIDE_OR_HOME_TEAM_TOTAL_CHECK,6.0,9.0,0.0,0.0,1.375,1.375,1.375,1.0,1.125,1.875,0.875,0.75,0.25,0.375,0.75,0.5,0.875,0.625,0.375,0.625,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
28,WATCHLIST,WATCH,2026-05-09,Spain,La Liga,1391166,Real Sociedad,Real Betis,84.46,78.56,HIGH,1-2 / 1-3 / 2-2,OVER_2_5,OVER_1_5,STRONG,WATCH,BET,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,15,0,0,15,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | model_edge_abs_num >= 0.0415243 | primary_edge >= 0.0415243 | model_edge_abs_num >= 0.0371755 | model_edge_abs_num >= 0.0375492 | primary_edge >= 0.0371755 | primary_edge >= 0.0375492 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.6522,1.71,0.5847953216374269,0.0674046783625731,0.8484,1.21,0.8264462809917356,0.0219537190082644,A_ANALIZAR_PRIMERO,AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,,,Proj goles: local 1.52 | visitante 1.84,Market edge primario: prob 0.652 | impl 0.585 | edge +0.067,Bias lado: -0.71 | tie=nan | hint=AWAY_SIDE_OR_AWAY_TEAM_TOTAL_CHECK,9.0,5.0,0.0,0.5,1.125,1.25,1.75,1.5,1.75,1.375,0.75,0.875,0.125,0.25,0.625,0.75,0.75,0.875,0.625,0.5,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
30,WATCHLIST,WATCH,2026-05-09,Germany,Bundesliga,1388603,VfB Stuttgart,Bayer Leverkusen,83.08,77.38,HIGH,2-2 / 2-1 / 1-2,OVER_1_5,OVER_2_5,PLAYABLE,WATCH,LEAN_PLAY,WATCH,WATCH,DOWNGRADED_GENERIC_PROMOTED_RULE_ONLY,9,0,0,9,GENERIC_BROAD,selection_score >= 73.29,selection_score >= 73.29 | selection_score >= 73.33 | vsigma_pre_score >= 68.09 | vsigma_pre_score >= 68.1 | vsigma_pre_score >= 68.11 | vsigma_pre_score >= 68.13 | odds_num <= 2.57 | selection_score >= 72.44 | selection_score >= 72.56,Base actionable recommendation matched only broad generic promoted rules; approval requires at least one selective evidence rule.,0.9224,1.11,0.9009009009009008,0.0214990990990991,0.7904,1.35,0.7407407407407407,0.0496592592592592,A_ANALIZAR_PRIMERO,OVER_OR_BTTS_CHECK,,,Proj goles: local 2.03 | visitante 2.18,Market edge primario: prob 0.922 | impl 0.901 | edge +0.021,Bias lado: -0.30 | tie=nan | hint=OVER_OR_BTTS_CHECK,5.0,4.0,0.5,0.5,1.375,1.625,2.125,2.125,1.875,1.75,0.75,0.75,0.125,0.125,0.625,0.625,1.0,0.875,0.625,0.625,DOWNGRADED,Base actionable recommendation was downgraded because promoted-rule evidence was absent or too generic.,3
