target_date,generated_at,governor_id,source_type,source_id,source_key,priority,sample_count,status_input,governor_decision,governor_reason,next_action,required_evidence,allowed_engine,auto_apply,production_change,shadow_allowed,promotion_pr_allowed,guardrail_status
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::UNRESOLVED_DOMINANCE::UNRESOLVED_RESULTS,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::UNRESOLVED_DOMINANCE::UNRESOLVED_RESULTS,UNRESOLVED_RESULTS,P2,13,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::MARKET_RISK_CLUSTER::UNKNOWN_MARKET::UNKNOWN_RISK,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::MARKET_RISK_CLUSTER::UNKNOWN_MARKET::UNKNOWN_RISK,UNKNOWN_MARKET::UNKNOWN_RISK,P2,8,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::MARKET_RISK_CLUSTER::OVER_1_5::UNKNOWN_RISK,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::MARKET_RISK_CLUSTER::OVER_1_5::UNKNOWN_RISK,OVER_1_5::UNKNOWN_RISK,P2,7,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::SAMPLE_KEY_CLUSTER::UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::SAMPLE_KEY_CLUSTER::UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,UNRESOLVED::OVER_1_5::UNKNOWN_RISK::NO_SIGNAL,P2,7,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::SAMPLE_KEY_CLUSTER::UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::SAMPLE_KEY_CLUSTER::UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,UNRESOLVED::UNKNOWN_MARKET::UNKNOWN_RISK::NO_SIGNAL,P2,7,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::MARKET_RISK_CLUSTER::OVER_2_5::UNKNOWN_RISK,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::MARKET_RISK_CLUSTER::OVER_2_5::UNKNOWN_RISK,OVER_2_5::UNKNOWN_RISK,P3,2,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::DATA_QUALITY_PROPOSAL::SAMPLE_KEY_CLUSTER::UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,IMPROVEMENT_PROPOSAL,DATA_QUALITY_PROPOSAL::SAMPLE_KEY_CLUSTER::UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,UNRESOLVED::OVER_2_5::UNKNOWN_RISK::NO_SIGNAL,P3,2,PROPOSAL_ONLY,DATA_QUALITY_FIRST,Evidence quality gap must be resolved before any model/shadow promotion path.,OPEN_DATA_QUALITY_REVIEW,Resolved UNKNOWN/UNRESOLVED/NO_SIGNAL rows and complete post-result labeling.,data_quality_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::OPERATIONAL_PROPOSAL::WAITING_PRELOCK_CLUSTER::WAITING_PRELOCK,IMPROVEMENT_PROPOSAL,OPERATIONAL_PROPOSAL::WAITING_PRELOCK_CLUSTER::WAITING_PRELOCK,WAITING_PRELOCK,P1,4,PROPOSAL_ONLY,OPERATIONAL_REVIEW_REQUIRED,"Operational timing/freshness issue affects execution quality, not production model logic.",OPEN_OPERATIONAL_REVIEW,Stable PRE/AUTO/PRELOCK/POST behavior across repeated scheduled runs.,operator_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::OPERATIONAL_PROPOSAL::EXPIRED_PRELOCK_CLUSTER::EXPIRED_PRELOCK,IMPROVEMENT_PROPOSAL,OPERATIONAL_PROPOSAL::EXPIRED_PRELOCK_CLUSTER::EXPIRED_PRELOCK,EXPIRED_PRELOCK,P3,1,MONITOR_ONLY,OPERATIONAL_REVIEW_REQUIRED,"Operational timing/freshness issue affects execution quality, not production model logic.",OPEN_OPERATIONAL_REVIEW,Stable PRE/AUTO/PRELOCK/POST behavior across repeated scheduled runs.,operator_review,NO,NO,NO,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::MODEL_SHADOW_PROPOSAL::MARKET_RISK_CLUSTER::OVER_1_5::FAILURE_MODE_LOW_CONVERSION,IMPROVEMENT_PROPOSAL,MODEL_SHADOW_PROPOSAL::MARKET_RISK_CLUSTER::OVER_1_5::FAILURE_MODE_LOW_CONVERSION,OVER_1_5::FAILURE_MODE_LOW_CONVERSION,P1,5,SHADOW_CANDIDATE_REQUIRED,SHADOW_FACTORY_ALLOWED,"Pattern has enough proposal evidence to create/continue a shadow-only candidate, not to modify production.",CREATE_OR_CONTINUE_SHADOW_CANDIDATE,Backtest plus forward-test evidence against official baseline.,shadow_candidate_factory,NO,NO,YES,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,IMPROVEMENT_PROPOSAL::MODEL_SHADOW_PROPOSAL::SAMPLE_KEY_CLUSTER::WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,IMPROVEMENT_PROPOSAL,MODEL_SHADOW_PROPOSAL::SAMPLE_KEY_CLUSTER::WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,P1,3,SHADOW_CANDIDATE_REQUIRED,SHADOW_FACTORY_ALLOWED,"Pattern has enough proposal evidence to create/continue a shadow-only candidate, not to modify production.",CREATE_OR_CONTINUE_SHADOW_CANDIDATE,Backtest plus forward-test evidence against official baseline.,shadow_candidate_factory,NO,NO,YES,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
2026-06-05,2026-06-05T12:43:52+01:00,PROMOTION_GATE::SHADOW::LOW_CONVERSION_OVER15_SHRINKAGE_SHADOW::OVER_1_5::FAILURE_MODE_LOW_CONVERSION,PROMOTION_GATE,SHADOW::LOW_CONVERSION_OVER15_SHRINKAGE_SHADOW::OVER_1_5::FAILURE_MODE_LOW_CONVERSION,OVER_1_5::FAILURE_MODE_LOW_CONVERSION,P2,1,NOT_READY_SAMPLE_TOO_SMALL,COLLECT_MORE_SAMPLES,Promotion evidence is too small for production consideration.,CONTINUE_FORWARD_TEST,Reach at least 30 closed matching samples.,shadow_performance_tracker,NO,NO,YES,NO,SELF_IMPROVEMENT_REVIEW_ONLY_NO_AUTO_PRODUCTION_CHANGE
