target_date,generated_at,rank,factory_experiment_id,registry_experiment_id,pattern_key,factory_status,registry_status,sync_status,sync_reason,recommended_next_step,auto_apply,production_change,guardrail_status
2026-07-28,2026-07-28T04:55:33+01:00,1,shadow_waiting_prelock_over_1_5_failure_mode_low_conversion_wait_for_post_results,,WAITING_PRELOCK::OVER_1_5::FAILURE_MODE_LOW_CONVERSION::WAIT_FOR_POST_RESULTS,CREATE_SHADOW_ONLY,MISSING,REGISTRY_CREATE_NEEDED,Factory created a shadow candidate that is not in registry yet.,CREATE_REGISTRY_ENTRY_REVIEW_ONLY,NO,NO,SHADOW_REGISTRY_SYNC_REPORT_ONLY
2026-07-28,2026-07-28T04:55:33+01:00,2,shadow_over_1_5_failure_mode_low_conversion,SHADOW::LOW_CONVERSION_OVER15_SHRINKAGE_SHADOW::OVER_1_5::FAILURE_MODE_LOW_CONVERSION,OVER_1_5::FAILURE_MODE_LOW_CONVERSION,CONTINUE_SHADOW_ONLY,ACTIVE_SHADOW_ONLY,ALREADY_REGISTERED,Pattern already exists in registry with status ACTIVE_SHADOW_ONLY.,CONTINUE_FORWARD_TEST,NO,NO,SHADOW_REGISTRY_SYNC_REPORT_ONLY
