date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country
2026-05-05,Liga E Pare,1195,2025,1531464,NS,FC Besa Peja,25421,Tefik Canga,26793,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531465,NS,Istogu,15572,2 Korriku,14398,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531466,NS,Kika,15574,Liria Prizren,14402,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531467,NS,Prizreni,15578,Feronikeli,4132,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531468,NS,Ramiz Sadiku,15579,KEK-u,15573,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531469,NS,Suhareka,22817,Rilindja 1974,20689,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531470,NS,Trepça'89,3885,Dinamo Ferizaj,22815,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531471,NS,Trepça Mitrovicë,14403,Vushtrria,14396,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Liga E Pare,1195,2025,1531472,NS,Vëllaznimi,15582,Vjosa,20690,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Kosovo
2026-05-05,Premier League,847,2025,1512086,NS,Rangers FC,18314,Green Mamba,6421,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Eswatini
2026-05-05,Premier League,847,2025,1512088,NS,Young Buffaloes,8076,Amawele,26847,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Eswatini
2026-05-05,Championnat D1,968,2025,1543835,NS,Lozo,21191,US Oyem,21193,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Premier League,425,2025,1544169,NS,Foutoua,9114,Omaya SC,27270,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Syria
2026-05-05,First League,343,2025,1540339,NS,Noah II,21879,Van II,26199,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Armenia
2026-05-05,Championnat D1,968,2025,1543836,NS,Ogooue FC,27625,Cercle Mbéri,6415,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Championnat D1,968,2025,1543837,NS,Stade Mandji,19865,Stade Migoveen,27575,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Championnat D1,968,2025,1543838,NS,Vautour Club,21194,Mangasport,8089,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Landesliga - Steiermark,229,2025,1465103,NS,Tillmitsch,21533,FSC Hochegger Dächer,21729,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465104,NS,UFC Fehring,18409,Pachern,19702,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465105,NS,Leoben,8326,Allerheiligen,4934,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465106,NS,Gnas,8321,Lebring,8325,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465107,NS,Union RB Weinland Gamlit,8331,Ilz,8323,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465108,NS,Bad Waltersdorf,24454,Fürstenfeld,8320,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465109,NS,Wildon,8333,Schladming,21730,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Landesliga - Steiermark,229,2025,1465110,NS,Köflach,19310,Bruck an der Mur,8318,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Championnat D1,968,2025,1543839,NS,Bouenguidi,15564,Bitam,21187,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon
2026-05-05,Ligi kuu Bara,567,2025,1477214,NS,Azam,8057,Namungo,12197,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Tanzania
2026-05-05,A Lyga,362,2026,1522798,NS,Kauno Žalgiris,3872,Džiugas Telšiai,3860,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Lithuania
2026-05-05,4. liga - Divizie B,351,2025,1490036,NS,Chomutov,7282,Újezd Praha 4,19439,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Czech-Republic
2026-05-05,Veikkausliiga,244,2026,1495672,NS,Gnistan,2082,Inter Turku,1164,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Finland
2026-05-05,Erovnuli Liga,327,2026,1509112,NS,Torpedo Kutaisi,685,Rustavi,3501,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Georgia
2026-05-05,AFC U17 Asian Cup,1012,2026,1523008,NS,Japan U17,12511,Qatar U17,21443,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,Super Liga,332,2025,1528496,NS,Skalica,10542,FK Košice,10534,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Slovakia
2026-05-05,Super Liga,332,2025,1528527,NS,Žilina,3554,Zemplín Michalovce,3552,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Slovakia
2026-05-05,Cup,657,2025,1532905,NS,Flora Tallinn,687,Trans Narva,2274,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Estonia
2026-05-05,Kakkonen - Lohko B,248,2026,1541481,NS,Ilves II,9185,ÅIFK,13494,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Finland
2026-05-05,Liga Leumit,382,2025,1541889,NS,Hapoel Kfar Saba,4497,Bnei Yehuda,4508,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Liga Leumit,382,2025,1541890,NS,Kafr Qasim,4493,Hapoel Acre,4482,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Liga Leumit,382,2025,1541891,NS,Maccabi Herzliya,4503,Hapoel Kfar Shalem,6160,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Liga Leumit,382,2025,1541892,NS,Hapoel Hadera,4500,Ironi Modi'in,6179,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Liga Leumit,382,2025,1541893,NS,Hapoel Rishon LeZion,4491,Kiryat Yam SC,20105,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Liga Leumit,382,2025,1541894,NS,Hapoel Ramat Gan,4489,Maccabi Petah Tikva,4495,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Premier League,417,2025,1542997,NS,Al Riffa,5482,Al Shabab,5480,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Bahrain
2026-05-05,Premier League,417,2025,1542998,NS,Sitra,10238,Al Ahli,5580,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Bahrain
2026-05-05,Ligue 1,386,2025,1543676,NS,Zoman,22584,Mouna,22583,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ivory-Coast
2026-05-05,LFA First Division,760,2025,1543751,NS,BEA Mountain,16143,LISCR,8062,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Liberia
2026-05-05,LFA First Division,760,2025,1543752,NS,Wologizi,26907,Discoveries,4048,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Liberia
2026-05-05,Oberliga - Bayern Süd,939,2025,1409138,NS,Gundelfingen,19234,1860 München II,12724,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Oberliga - Bremen,749,2025,1413296,NS,Union Bremen,16095,Brinkumer SV,12745,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,AFC U17 Asian Cup,1012,2026,1523009,NS,Indonesia U17,22502,China PR U17,21449,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,Ligat Ha'al,383,2025,1540716,NS,Maccabi Tel Aviv,604,Hapoel Petah Tikva,4488,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel
2026-05-05,Premier League,762,2025,1538863,NS,Tevragh-Zeïne,15521,Pompiers,21987,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Mauritania
2026-05-05,Pro League,301,2025,1542136,NS,Baniyas SC,2877,Al-Dhafra,2873,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,United-Arab-Emirates
2026-05-05,Pro League,301,2025,1542137,NS,Dibba Al-Fujairah,2867,Al Bataeh,9136,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,United-Arab-Emirates
2026-05-05,Pro League,301,2025,1542138,NS,Al-Ittihad Kalba,2876,Khorfakkan,4912,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,United-Arab-Emirates
2026-05-05,Eredivisie,88,2025,1543677,NS,Waalwijk,417,Willem II,195,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Netherlands
2026-05-05,Oberliga - Hamburg,745,2025,1407907,NS,Buchholz,12746,ETSV Hamburg,20851,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Oberliga - Hamburg,745,2025,1407947,NS,Victoria Hamburg,12890,Niendorfer TSV,12821,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Oberliga - Bremen,749,2025,1413295,NS,BTS Neustadt,16090,OSC Bremerhaven,16094,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Superettan,114,2026,1497545,NS,Falkenbergs FF,812,IFK Norrkoping,378,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Sweden
2026-05-05,A Lyga,362,2026,1522797,NS,FK Trakai,638,Banga,3858,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Lithuania
2026-05-05,AFC U17 Asian Cup,1012,2026,1523010,NS,Saudi Arabia U17,21444,Myanmar U17,25309,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,Premier League,233,2025,1533679,NS,Al Ahly,1577,Enppi,1037,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Egypt
2026-05-05,Premier League,233,2025,1533680,NS,Ceramica Cleopatra,14651,Pyramids FC,1036,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Egypt
2026-05-05,Premier League,233,2025,1533681,NS,Smouha SC,1044,Zamalek SC,1040,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Egypt
2026-05-05,Kvindeliga,638,2025,1534611,NS,AGF,14243,KoldingQ,13981,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Denmark
2026-05-05,First League,172,2025,1540994,NS,Lokomotiv Sofia,1416,Botev Vratsa,859,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Bulgaria
2026-05-05,Iraqi League,542,2025,1543146,NS,Naft,11071,Al-Karma,25063,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Iraq
2026-05-05,Iraqi League,542,2025,1543147,NS,Al Talaba,11067,Al Zawra'a,8010,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Iraq
2026-05-05,UEFA U17 Championship - Women,1102,2026,1543320,NS,Spain U17 W,25233,Finland U17 W,27105,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,Emir Cup,824,2026,1543759,NS,Al-Duhail SC,2904,Al Sadd,2895,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Qatar
2026-05-05,Premier League,393,2025,1543842,NS,Zabbar St. Patrick,4622,Tarxien Rainbows,4629,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Malta
2026-05-05,Oberliga - Hamburg,745,2025,1407955,NS,Vorwärts-Wacker 04,20895,Türkiye,19471,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Oberliga - Hamburg,745,2025,1408013,NS,Paloma,12828,Süderelbe,14796,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Oberliga - Bremen,749,2025,1413298,NS,Geestemünde,12769,Oberneuland,4263,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,Regionalliga - Ost,221,2025,1418075,NS,Wiener SC,4965,Parndorf,4955,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria
2026-05-05,Premier Soccer League,288,2025,1429681,NS,Stellenbosch,4905,Orlando Pirates,2700,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,South-Africa
2026-05-05,Premier Soccer League,288,2025,1429682,NS,Siwelele,26299,Durban City,24757,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,South-Africa
2026-05-05,Premier Soccer League,288,2025,1429683,NS,Magesi,19999,Orbit College,10582,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,South-Africa
2026-05-05,Premier Soccer League,288,2025,1429684,NS,Chippa United,2698,Sekhukhune United,15537,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,South-Africa
2026-05-05,Oberliga - Bremen,749,2025,1437862,NS,Werder Bremen III,16097,Leher TS,1644,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany
2026-05-05,3. SNL - East,794,2025,1474881,NS,Dobrovce,6720,Korotan Prevalje,16303,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Slovenia
2026-05-05,AFC U17 Asian Cup,1012,2026,1523011,NS,Tajikistan U17,12521,Thailand U17,21445,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,Türkiye Kupası,206,2025,1542691,NS,Beşiktaş,549,Konyaspor,607,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Turkey
2026-05-05,Pro League,307,2025,1436164,NS,Al Khaleej Saihat,2928,Al-Hilal Saudi FC,2932,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Saudi-Arabia
2026-05-05,Reserve League,906,2026,1512363,NS,Atl. Rafaela 2,27412,Huracán Res.,18688,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Argentina
2026-05-05,Reserve League,906,2026,1512369,NS,Independiente Res.,18689,Ferro 2,26250,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Argentina
2026-05-05,Reserve League,906,2026,1512371,NS,Instituto Res.,20818,Gimnasia Mendoza 2,27272,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Argentina
2026-05-05,Reserve League,906,2026,1512372,NS,Platense Res.,18693,Estudiantes Rio Cuarto 2,27271,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Argentina
2026-05-05,Reserve League,906,2026,1512373,NS,Quilmes 2,27413,Defensa y Justicia Res.,18684,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Argentina
2026-05-05,Brasileiro U20 A,740,2026,1526119,NS,RB Bragantino U20,18345,Fortaleza U20,13009,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Serie C,75,2026,1526804,NS,Ypiranga-RS,1221,Ituano,7779,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Copa do Brasil U17,1179,2026,1533860,NS,Athletico PR U17,24469,Monte Roraima U17,25799,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Copa do Brasil U17,1179,2026,1533862,NS,Coritiba U17,27532,IAPE U17,27533,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Copa do Brasil U17,1179,2026,1533863,NS,Cruzeiro U17,24476,CSA U17,27531,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Catarinense U20,1076,2026,1539805,NS,Joinville U20,13019,Brusque U20,23322,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Cup,761,2025,1540857,NS,FC Vaduz,660,Eschen / Mauren,12713,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Liechtenstein
2026-05-05,Brasileiro U20 B,1183,2026,1538522,NS,Vila Nova U20,13070,Botafogo SP U20,12987,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Brazil
2026-05-05,Campionato,404,2025,1542910,NS,Fiorentino,5301,La Fiorita,2249,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,San-Marino
2026-05-05,Campionato,404,2025,1542911,NS,Folgore,672,Domagnano,5299,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,San-Marino
2026-05-05,Premiership,179,2025,1543679,NS,Dunfermline,1388,Arbroath,4249,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Scotland
2026-05-05,Championship,180,2025,1543764,NS,Alloa Athletic,1391,Airdrie United,4668,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Scotland
2026-05-05,Championship,180,2025,1543765,NS,Queen of the South,1384,Stenhousemuir,6784,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Scotland
2026-05-05,League One,183,2025,1543768,NS,Clyde,6762,Spartans,6781,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Scotland
2026-05-05,League One,183,2025,1543769,NS,Forfar Athletic,4250,Hamilton Academical,248,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Scotland
2026-05-05,UEFA Champions League,2,2025,1540843,NS,Arsenal,42,Atletico Madrid,530,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,Copa Ecuador,917,2025,1542920,NS,Aucas,1156,San Antonio,23310,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542921,NS,Barcelona SC,1152,Insutec,19033,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542922,NS,Delfin SC,1149,Baños Ciudad de Fuego,24063,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542923,NS,Deportivo Cuenca,1154,La Unión,19413,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542924,NS,Emelec,1148,Daquilema FC,27666,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542925,NS,Guayaquil City FC,1159,Astillero FC (Ecu),27663,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542926,NS,Independiente del Valle,1153,Santo Domingo,13166,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542927,NS,LDU de Quito,1158,Ind. Juniors,2238,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542928,NS,Leones del Norte,19034,Huaquillas,26035,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542929,NS,Libertad,18762,LDU Portoviejo,1988,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542930,NS,Macara,1155,Deportivo Cuenca Juniors,26031,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542931,NS,Manta FC,1980,9 de Octubre,10111,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542932,NS,Mushuc Runa SC,1162,Gualaceo SC,1986,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542933,NS,Orense SC,1992,Cuniburo,21103,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542934,NS,Tecnico Universitario,1151,Cde Juventud Italiana,27662,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Copa Ecuador,917,2025,1542935,NS,Universidad Catolica,1157,El Nacional,1150,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ecuador
2026-05-05,Reserve League,906,2026,1512374,NS,River Plate Res.,18695,Racing Club Res.,18694,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Argentina
2026-05-05,CONMEBOL Sudamericana,11,2026,1535194,NS,Deportivo Riestra,476,Gremio,130,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,CONMEBOL Sudamericana,11,2026,1535195,NS,Independiente Petrolero,15702,Caracas FC,2808,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,CONMEBOL Sudamericana,11,2026,1535196,NS,Juventud,2353,Atletico-MG,1062,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,CONMEBOL Libertadores,13,2026,1535293,NS,Rosario Central,437,Libertad Asuncion,1179,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,CONMEBOL Libertadores,13,2026,1535295,NS,Sporting Cristal,2546,Palmeiras,121,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World
2026-05-05,MLS Next Pro,909,2026,1513076,NS,New York City II,18815,Chicago Fire II,4040,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,USA
2026-05-05,Premier League,422,2026,1514439,NS,Brittons Hill,8402,St. Andrew Lions,8408,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Barbados
2026-05-05,Canadian Championship,259,2026,1543072,NS,Toronto FC,1601,Atlético Ottawa,10169,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Canada
